Название группы,Фраза (с минус-словами),Продуктивность,ID объявления,Заголовок,Текст,Ссылка
мрт 1 парковая,мрт куркино -головы -позвоночника -сделать -химках -цена -центр,6.5,2101705047,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт 1 парковая,"""!мрт !1 !парковая""",7.7,2101705052,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт бутово,"""мрт 1 парковая""",7.7,2101705052,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт бутово,мрт 1 парковая -улице,7.3,2101705052,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт бутово,"""мрт бутово""",6.7,2101705059,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в химках,"""!мрт !бутово""",6.7,2101705059,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в химках,мрт бутово -головы -позвоночника -сделать -цена -южном,6.1,2101705059,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в химках,"""мрт в химках""",7.8,2101705065,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на парковой,"""!мрт !в !химках""",7.8,2101705065,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на парковой,мрт в химках -головы -куркино -лавочкина -позвоночника -сделать -цены,6.5,2101705065,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на парковой,"""мрт на парковой""",7.7,2101705075,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в орехово зуево,"""!мрт !на !парковой""",7.7,2101705075,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в орехово зуево,мрт на парковой -1 -головы -первое -позвоночника -сделать -улице -цена,6.7,2101705075,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в орехово зуево,"""мрт в орехово зуево""",6.8,2101705084,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт октябрьский,"""!мрт !в !орехово !зуево""",6.8,2101705084,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт октябрьский,мрт в орехово зуево -головы -набережной -позвоночника -сделать -цена,7.6,2101705084,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт октябрьский,"""мрт октябрьский""",3.9,2101705091,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт волоколамское шоссе,"""!мрт !октябрьский""",1.9,2101705091,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт волоколамское шоссе,мрт октябрьский -головы -позвоночника -сделать -цена,6.6,2101705091,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в перово,"""мрт волоколамское шоссе""",7.7,2101705100,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в перово,"""!мрт !волоколамское !шоссе""",7.7,2101705100,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в перово,"""мрт в перово""",7.7,2101705107,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт алексеевская кулаков переулок,"""!мрт !в !перово""",7.7,2101705107,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт алексеевская кулаков переулок,мрт в перово -головы -новогиреево -позвоночника -поле -сделать -цена -центр,6.4,2101705107,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт алексеевская кулаков переулок,"""мрт алексеевская кулаков переулок""",2.3,2101705117,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в тушино,"""!мрт !алексеевская !кулаков !переулок""",2.3,2101705117,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в тушино,мрт алексеевская кулаков переулок -13 -отзывы,6.7,2101705117,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в тушино,"""мрт в тушино""",7.8,2101705122,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт жулебино,"""!мрт !в !тушино""",7.8,2101705122,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт жулебино,мрт в тушино -головы -отзывы -позвоночника -сделать -цены,6.2,2101705122,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт жулебино,"""мрт жулебино""",6.8,2101705129,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт сиреневый,"""!мрт !жулебино""",6.8,2101705129,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт сиреневый,мрт жулебино -адреса -головы -позвоночника -привольной -сделать -цена,6.6,2101705129,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт сиреневый,"""мрт сиреневый""",1.9,2101705140,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт кулаков переулок 13,"""!мрт !сиреневый""",1.9,2101705140,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт кулаков переулок 13,мрт сиреневый -бульваре -головы -позвоночника -сделать -цена,3.4,2101705140,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт кулаков переулок 13,"""мрт кулаков переулок 13""",3.7,2101705142,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт хлебозаводская 10,"""!мрт !кулаков !переулок !13""",3.7,2101705142,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт хлебозаводская 10,мрт кулаков переулок 13 -алексеевской -головы -позвоночника -сделать -цена,3.7,2101705142,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт хлебозаводская 10,"""мрт хлебозаводская 10""",5.8,2101705143,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на алексеевской кулаков переулок 13,"""!мрт !хлебозаводская !10""",5.8,2101705143,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на алексеевской кулаков переулок 13,мрт хлебозаводская 10 -головы -позвоночника -сделать -цена,7.6,2101705143,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на алексеевской кулаков переулок 13,мрт на алексеевской кулаков переулок 13,6.6,2101705145,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на зеленой,"""!мрт !на !алексеевской !кулаков !переулок !13""",6.6,2101705145,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на зеленой,"""мрт на алексеевской кулаков переулок 13""",6.6,2101705145,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на зеленой,"""!мрт !на !зеленой""",6.3,2101705148,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на цветном,"""мрт на зеленой""",6.3,2101705148,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на цветном,мрт на зеленой -головы -позвоночника -сделать -цена,6.7,2101705148,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на цветном,"""мрт на цветном""",7.7,2101705149,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в марьино,"""!мрт !на !цветном""",7.7,2101705149,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в марьино,мрт на цветном -бульваре,6.7,2101705149,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт в марьино,"""мрт в марьино""",7.8,2101705151,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт митино,"""!мрт !в !марьино""",7.8,2101705151,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт митино,мрт в марьино -братиславская -головы -дешево -позвоночника -роща -сделать -цена,6.5,2101705151,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт митино,"""мрт митино""",6.7,2101705153,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на парковой улице,"""!мрт !митино""",6.7,2101705153,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на парковой улице,мрт митино -головы -позвоночника -сделать -цены,6.5,2101705153,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт на парковой улице,"""мрт на парковой улице""",6.7,2101705154,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт домодедово текстильщики,"""!мрт !на !парковой !улице""",6.7,2101705154,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
мрт домодедово текстильщики,мрт на парковой улице -1,7.7,2101705154,МРТ в Москве от 2000₽. Звоните!,24 часа. МРТ в день обращения. Консультация врача бесплатно. Без очередей.,https://awesome-site.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=7f35591a28&utm_content=dev_{device_type}
